numUniqueEditors,numEdits,connectivity,numAnonEdits,numRegisteredEdits,numExternalLinks,numReverts,numBrokenLinks,numInnerLinks,articleLength,flesch,kincaid,infoNoise,diversity,numImages,adminShare,age,medianRevertTime,id,lang,name,authority,completeness,complexity,informativeness,consistency,volatility,currency,informativeness2,infoNoise2,,
110,414,7448,167,247,445,1,97,900,15696,-1,-1,0.641755861,0.265700483,49,0,410,348.5,174927,zh,2019冠状病毒病中国大陆疫情           ,996.7,3538,-1,14.9256332269645,205,348.5,18,14.9256013604468,0.641702750503141,,
9,23,7391,0,23,66,1,78,570,1365,-1,-1,0.661538462,0.391304348,15,0,409,49,178368,zh,2019冠状病毒病佛罗里达州疫情           ,761,532.2,-1,4.66214046822743,204.5,49,90,4.66214046822743,0.661538461538462,,
19,333,7561,2,331,424,0,90,687,10654,-1,-1,0.661347851,0.057057057,59,0,415,0,174942,zh,2019冠状病毒病加利福尼亚州疫情           ,944.8,2441.6,-1,18.0625744761093,207.5,0,90,18.0626871203697,0.661535591006624,,
42,114,6730,18,96,381,0,71,643,9469,-1,-1,0.631006442,0.368421053,48,0,423,0,174943,zh,2019冠状病毒病加拿大疫情           ,793.6,2179.4,-1,14.5575512336655,211.5,0,14,14.5575512336655,0.631006442074137,,
65,448,7587,22,426,159,1,67,154,11705,-1,-1,0.654164887,0.145089286,33,0,422,0,174981,zh,2019冠状病毒病德国疫情           ,940.4,2429.4,-1,10.2054453606517,211,0,13,10.2054453606517,0.654164886800512,,
126,563,7592,82,481,533,0,54,425,23901,-1,-1,0.660641814,0.223801066,119,0.005328596802842,430,0,174982,zh,2019冠状病毒病意大利疫情           ,1068.1,4971.8,-1,35.9621044490584,215.003197158082,0,53,35.9620570001018,0.660562732555709,,
20,167,6934,3,164,169,1,108,614,3004,-1,-1,0.706391478,0.119760479,38,0,408,71,174999,zh,2019冠状病毒病检测           ,781.6,889.6,-1,11.7519785993924,204,71,17,11.7514041499506,0.705434062292909,,
48,108,7568,25,83,114,1,89,607,6559,-1,-1,0.671138893,0.444444444,38,0.009259259259259,408,60,175000,zh,2019冠状病毒病欧洲疫情           ,824.4,1590.2,-1,11.5360166692077,204.005555555556,60,14,11.5360166692077,0.671138893123952,,
16,48,6696,8,40,4,0,73,737,9891,-1,-1,0.839854413,0.333333333,216,0,385,0,175001,zh,2019冠状病毒病死亡病例数           ,688.8,2302.2,-1,65.1039126478617,192.5,0,23,65.1067082683307,0.844513780551222,,
16,64,7398,4,60,44,1,14,59,2383,-1,-1,0.689467058,0.25,25,0,402,33,175010,zh,2019冠状病毒病波兰疫情           ,771.4,505.8,-1,7.7636802349979,201,33,14,7.7636802349979,0.689467058329836,,
39,206,7639,15,191,465,0,70,599,6832,-1,-1,0.713261124,0.189320388,20,0.004854368932039,424,0,175017,zh,2019冠状病毒病澳大利亚疫情           ,928,1634,-1,6.31436444146336,212.002912621359,0,26,6.31445226347741,0.713407494145199,,
20,55,6712,6,49,92,3,82,589,1763,-1,-1,0.658536585,0.363636364,22,0,414,73,175018,zh,2019冠状病毒病爱尔兰疫情           ,710.7,621,-1,6.77694013303769,207,73,18,6.77705627705628,0.658730158730159,,
33,69,6920,20,49,35,3,73,548,1700,-1,-1,0.650588235,0.47826087,22,0,424,22,175020,zh,2019冠状病毒病瑞典疫情           ,728.3,588.4,-1,6.70339641943734,212,22,27,6.70339641943734,0.650588235294118,,
1012,6685,7734,865,5820,437,56,84,806,12692,-1,-1,0.665222187,0.151383695,102,0.005086013462977,484,88,174833,zh,2019冠状病毒病疫情           ,3172,2894.4,-1,30.9083030954192,242.003051608078,88,20,30.9072936104886,0.6635397123202,,
52,134,6911,44,90,91,0,84,598,7482,-1,-1,0.680834002,0.388059701,41,0,394,0,175032,zh,2019冠状病毒病疫情对教育的影响           ,764.3,1769.2,-1,12.4756645800668,197,0,13,12.4852140711649,0.696749820100744,,
101,280,6908,97,183,339,1,139,822,11284,-1,-1,0.683977313,0.360714286,53,0,410,0,175036,zh,2019冠状病毒病疫情对电影业的影响           ,872.8,2641.2,-1,16.0939578163772,205,0,13,16.0920317944251,0.680767276422764,,
88,755,6957,19,736,781,1,184,1012,22637,-1,-1,0.665635906,0.116556291,161,0.003973509933775,402,0,175047,zh,2019冠状病毒病疫苗           ,1098.2,5005.8,-1,48.6294477686563,201.00238410596,0,12,48.6283615777584,0.663825587654764,,
24,78,7566,0,78,91,3,73,573,2947,-1,-1,0.677638276,0.307692308,33,0,416,6,175058,zh,2019冠状病毒病纽约州疫情           ,803,847.8,-1,10.1219675811125,208,6,89,10.1215784215784,0.676989676989677,,
16,66,6910,1,65,655,0,140,494,19255,-1,-1,0.682264347,0.242424242,25,0,406,0,178369,zh,2019冠状病毒病美国疫情时间线           ,845.1,4104.6,-1,7.76390406269918,203,0,63,7.76374526785251,0.681999688845097,,
65,244,6739,40,204,242,2,84,628,6506,-1,-1,0.667383953,0.266393443,18,0,426,33,175064,zh,2019冠状病毒病英国疫情           ,812.5,1586,-1,5.64059430639057,213,33,46,5.64034460289958,0.666967780788919,,
54,178,6914,29,149,126,3,74,613,4375,-1,-1,0.668571429,0.303370787,33,0,425,13,175067,zh,2019冠状病毒病西班牙疫情           ,783.7,1149.8,-1,10.1191203852327,212.5,13,89,10.1188372565967,0.668099547511312,,
29,63,6740,9,54,34,1,66,533,966,-1,-1,0.666666667,0.46031746,31,0,412,78,175492,zh,2019冠状病毒病墨西哥疫情           ,706.4,432.8,-1,9.42380952380952,206,78,85,9.42380952380952,0.666666666666667,,
39,145,6734,23,122,84,3,65,559,2934,-1,-1,0.639400136,0.268965517,13,0,395,17,175097,zh,2019冠狀病毒病俄羅斯疫情           ,743.8,836.4,-1,4.12226077145476,197.5,17,53,4.12256279854559,0.639903514817367,,
523,4425,7714,862,3563,502,36,117,1285,19534,-1,-1,0.677075868,0.11819209,412,0.004971751412429,462,0,175099,zh,2019冠狀病毒病全球各地疫情           ,2400.9,4467.6,-1,103.935330266393,231.002983050847,0,14,123.935826991752,0.677903743315508,,
24,908,7418,13,895,510,2,114,196,7102,-1,-1,0.647423261,0.026431718,129,0,418,1,175105,zh,2019冠狀病毒病南非疫情           ,1122.9,1544.4,-1,39.0725949257949,209,1,80,39.0728458523902,0.647841472045294,,
17,36,7382,7,29,18,3,65,530,731,-1,-1,0.630642955,0.472222222,24,0,401,56,175106,zh,2019冠狀病毒病印度尼西亞疫情           ,756.7,384.2,-1,7.29505243958048,200.5,56,19,7.29505243958048,0.630642954856361,,
35,585,6692,48,537,64,1,66,540,2232,-1,-1,0.653673835,0.05982906,30,0,391,42,175107,zh,2019冠狀病毒病印度疫情           ,869.6,688.8,-1,9.35630686517783,195.5,42,11,9.33921686262341,0.625190497534738,,
23,51,6709,12,39,28,2,67,535,1076,-1,-1,0.673791822,0.450980392,16,0,398,22,175112,zh,2019冠狀病毒病土耳其疫情           ,697.6,456,-1,4.93368685764269,199,22,20,4.93410067363284,0.674481514878269,,
24,50,6686,24,26,3,2,65,540,253,-1,-1,0.644268775,0.48,17,0,393,61,175122,zh,2019冠狀病毒病巴基斯坦疫情           ,691.4,292.6,-1,5.19856126482213,196.5,61,25,5.19856126482213,0.644268774703557,,
33,149,6704,20,129,49,2,69,568,2432,-1,-1,0.643914474,0.22147651,40,0,405,11,175123,zh,2019冠狀病毒病巴西疫情           ,733.5,741.2,-1,12.2534627781703,202.5,11,24,12.2495597692899,0.637409458883681,,
13,39,6690,4,35,25,1,67,531,1161,-1,-1,0.705426357,0.333333333,10,0,367,70,175129,zh,2019冠狀病毒病新西蘭疫情           ,688.7,471.4,-1,3.22325581395349,183.5,70,55,3.21371204701273,0.689520078354554,,
168,2063,7636,1523,540,348,5,95,319,10473,-1,-1,0.630955791,0.081434804,95,0.000969461948619,448,0,175131,zh,2019冠狀病毒病日本疫情           ,1639.5,2260.2,-1,28.8297125924387,224.000581677169,0,14,28.8278485833017,0.627849109186822,,
48,645,7570,15,630,435,4,80,762,17849,-1,-1,0.606532579,0.074418605,30,0,432,133,175137,zh,2019冠狀病毒病朝鮮疫情           ,1049.8,3906.6,-1,9.31926838452288,216,133,18,9.31926838452288,0.606532578855958,,
53,270,6918,28,242,211,2,69,616,21514,-1,-1,0.643255555,0.196296296,24,0.003703703703704,422,66,175144,zh,2019冠狀病毒病法國疫情           ,828.4,4576.8,-1,7.4681755549358,211.002222222222,66,19,7.4681755549358,0.643255554522636,,
5,9,225,3,6,1,2,73,538,245,-1,-1,0.636734694,0.555555556,10,0,69,31,175158,zh,2019冠狀病毒病疫情對經濟的影響           ,26.7,293.4,-1,3.0487074829932,34.5,31,55,3.04408602150538,0.629032258064516,,
87,477,6791,79,398,376,2,81,716,20487,-1,-1,0.644652707,0.182389937,36,0.0041928721174,443,0,175162,zh,2019冠狀病毒病疫情時間軸           ,923.3,4416.2,-1,11.0773576616925,221.50251572327,0,12,11.0755532120304,0.641645290490977,,
44,327,6918,13,314,895,0,711,1479,19984,-1,-1,0.669285428,0.134556575,6,0.009174311926606,397,0,175523,zh,2019冠狀病毒病知名去世患者列表           ,979,4872.8,-1,2.12083731205148,198.505504587156,0,63,2.12070447278636,0.669064029567476,,
182,1013,7590,100,913,397,3,126,345,11330,-1,-1,0.658164166,0.179664363,96,0.000987166831194,446,0,175176,zh,2019冠狀病毒病美國疫情           ,1189.6,2454.4,-1,29.0870998815923,223.000592300099,0,16,29.0864973738116,0.657159986296677,,
25,53,7414,12,41,8,2,68,555,1191,-1,-1,0.711167086,0.471698113,22,0,396,2,175181,zh,2019冠狀病毒病菲律賓疫情           ,765.1,487.4,-1,6.74368138396464,198,2,14,6.74368138396464,0.711167086481948,,
149,780,7604,97,683,361,0,70,248,24680,-1,-1,0.622406807,0.191025641,74,0.008974358974359,436,0,175188,zh,2019冠狀病毒病韓國疫情           ,1106.1,5063.2,-1,22.4588286996634,218.005384615385,0,36,22.4588135688306,0.622381589076618,,
5,9,48,1,8,0,2,0,9,374,-1,-1,0.997326203,0.555555556,1,0,272,5,288107,ja,2019年コロナウイルス感染症で亡くなった著名人の一覧           ,8.6,78.4,-1,0.5650623885918,136,5,107,0.337254901960784,0.617647058823529,,
27,48,153,21,27,23,2,33,271,2427,-1,-1,0.999587969,0.5625,5,0,389,72,288707,ja,2019年コロナウイルス感染症流行による外出制限・封鎖           ,41.8,607,-1,1.76225278121137,194.5,72,45,1.5234375,0.6015625,,
5,10,7365,0,10,183,1,19,32,23206,-1,-1,0.880160303,0.5,2,0,413,299,348347,hi,२०२० दक्षिण कोरिया में कोरोनावायरस महामारी      ,777.1,4661.6,-1,0.828096182021891,206.5,299,199,0.828096182021891,0.880160303369818,,
47,462,6776,22,440,102,1,3,81,10811,-1,-1,0.868097308,0.101731602,50,0.008658008658009,421,47,348348,hi,२०२० भारत में कोरोनावायरस महामारी       ,848.2,2195.8,-1,15.4598194239393,210.505194805195,47,112,15.4588100955648,0.866415094339623,,
5,6,6722,0,6,10,2,2,7,632,-1,-1,0.860759494,0.833333333,1,0,415,42,362253,hi,२०२० स्पेन में कोरोनावायरस महामारी       ,677,130,-1,0.316455696202532,207.5,42,313,0.316455696202532,0.860759493670886,,
14,20,10140,1,19,16,2,1,37,1200,-1,-1,0.999166667,0.7,2,0,3991,10,324736,ja,22q11.2欠失症候群           ,1026.1,255.2,-1,0.7795,1995.5,10,39,0.5515,0.619166666666666,,
91,271,12263,34,237,395,5,202,453,10542,-1,-1,0.684215519,0.335793358,49,0.003690036900369,4654,0,180038,zh,2型糖尿病           ,1409.7,2370.4,-1,14.909053296566,2327.00221402214,0,33,14.909053296566,0.684215518876874,,
15,22,1556,3,19,14,3,5,40,2386,-1,-1,0.999580889,0.681818182,3,0.090909090909091,4905,421,294401,ja,2型糖尿病           ,168.3,495.2,-1,1.0906576240189,2452.55454545455,421,36,0.890238512535243,0.665549036043588,,
39,73,887,10,63,42,1,0,36,9479,60,-1,0.890283785,0.534246575,2,0.013698630136986,127,3,500725,de,501.V2           ,128.1,1910.2,60,0.813622325920167,63.5082191780822,3,9,0.813600671231457,0.890247694061561,,
3,5,283,0,5,14,1,4,36,1826,73,-1,0.884994524,0.6,1,0,66,26,123197,pt,501.V2           ,33.2,381.2,73,0.470996714129244,33,26,12,0.470996714129244,0.88499452354874,,
8,13,321,0,13,3,1,1,10,1565,14,-1,0.885623003,0.615384615,2,0,109,31,545209,it,501.V2           ,38.2,317.4,14,0.762143032686164,54.5,31,60,0.761524733446209,0.88459250446163,,
2,5,754,0,5,3,3,0,6,482,-1,-1,0.7593361,0.4,1,0,23,179,683715,ko,501.V2           ,77.9,98.8,-1,0.515601659751037,11.5,179,13,0.508520710059172,0.747534516765286,,
2,4,247,0,4,2,0,3,10,412,-1,-1,0.861650485,0.5,1,0,126,0,496489,id,501.V2 Variant          ,26.7,87.6,-1,0.516990291262136,63,0,120,0.518446601941748,0.864077669902913,,
179,1639,1744,284,1355,163,61,81,1346,18342,24,22.5,0.860865773,0.109212935,113,0.015863331299573,130,2.5,2149,en,501.V2 Variant          ,781.2,4239.2,24,34.3509917026966,65.0095179987797,2.5,12,34.3509726067787,0.860833946014074,,
8,11,708,1,10,4,1,0,8,1056,59,-1,0.872159091,0.727272727,1,0,127,111,154626,tr,501.V2 Variant          ,76.6,214.4,59,0.386931818181818,63.5,111,30,0.386931818181818,0.872159090909091,,
2,5,372,0,5,5,2,8,17,1573,-1,-1,0.848696758,0.4,0,0,127,44,345810,bn,৫০১.ভি২ প্রকরণ          ,40.1,324.6,-1,0.2692180546726,63.5,44,95,0.2692180546726,0.848696757787667,,
114,180,11965,63,117,4,17,0,60,1717,46,-1,0.854979616,0.633333333,2,0,5716,555,162349,tr,A vitamini          ,1285.5,367.4,46,0.732987769365172,2858,555,65,0.732987769365172,0.85497961560862,,
115,173,10951,43,130,8,11,18,89,7167,36,-1,0.875261616,0.664739884,5,0,5920,7,445711,fr,Abcès           ,1179.2,1476.2,36,1.62631303880744,2960,7,84,1.62649201561276,0.875559910414334,,
403,727,10785,222,505,20,95,0,355,17803,-43,40,0.855754648,0.554332875,2,0.261348005502063,6225,5,9392,en,Abdominal pain          ,1431.9,3702.6,-43,0.780853063958975,3112.6568088033,5,85,0.780853063958975,0.855754648093018,,
524,1110,12145,376,734,23,121,0,83,12500,55,-1,0.87672,0.472072072,3,0.004504504504505,6675,14,503626,de,Abhängigkeit (Medizin)          ,1730.8,2533.2,55,1.14278875675676,3337.5027027027,14,88,1.14278875675676,0.87672,,
3307,13055,12501,3012,10043,527,1454,0,639,53173,40,16.6,0.884584281,0.253312907,77,0.283416315587897,7115,2,7426,en,Abortion           ,6670.8,10890.2,40,23.4787628247384,3557.67004978935,2,20,23.4787511016762,0.884564743059213,,
1096,2247,11876,857,1390,204,210,3,959,34408,-37,27.6,0.881103232,0.48776146,355,0.154873164218959,6176,1,59138,en,Abortion law          ,2270.4,7266.4,-37,106.73600506325,3088.09292389853,1,18,106.73600506325,0.881103231806557,,
719,1651,12275,637,1014,216,321,69,394,30527,78,-1,0.888033544,0.43549364,14,0.008479709267111,5998,1,123872,pt,Aborto           ,2069.8,6290.6,78,4.47152394231461,2999.00508782556,1,40,4.47121359422641,0.88751629726206,,
492,1076,12159,365,711,353,198,3,205,45193,32,-1,0.881552453,0.457249071,18,0.013940520446097,5516,1,555761,it,Aborto           ,1803.6,9121.8,32,5.65458202930891,2758.00836431227,1,20,5.65467567657622,0.881708531592343,,
81,131,12011,39,92,40,21,60,235,4670,82,-1,0.890792291,0.618320611,3,0,5782,1,123873,pt,Aborto espontâneo          ,1274.8,1052,82,1.06348300832012,2891,1,320,1.06348300832012,0.890792291220557,,
35,53,4924,6,47,27,3,27,125,2743,58,-1,0.879329202,0.660377358,5,0,5517,24,553613,it,Aborto spontaneo          ,521.3,609.4,58,1.63137110586811,2758.5,24,165,1.63137110586811,0.879329201604083,,
16,25,3338,0,25,27,2,3,50,2309,-1,-1,0.853616284,0.64,6,0.04,3239,1,405056,ca,Abscés           ,349.9,483,-1,1.9281697704634,1619.524,1,176,1.9281697704634,0.853616284105673,,
524,873,12493,281,592,75,74,0,412,12906,38,17.4,0.887261739,0.600229095,56,0.223367697594502,7249,4,9395,en,Abscess           ,1681.3,2746,38,16.972219586191,3624.63402061856,4,115,16.972219586191,0.887261738726174,,
75,112,12086,19,93,27,4,3,60,5041,90,-1,0.891489784,0.669642857,4,0,5825,13,127451,pt,Abscesso           ,1265.7,1033.4,90,1.33310815597812,2912.5,13,281,1.33310815597812,0.891489783773061,,
239,405,10949,122,283,12,31,1,91,10174,47,-1,0.892765874,0.590123457,8,0.004938271604938,6312,1,503761,de,Abszess           ,1288.1,2071.6,47,2.5815854502035,3156.00296296296,1,123,2.5815854502035,0.89276587379595,,
21,25,7125,4,21,9,1,5,266,1404,53,-1,0.882478632,0.84,10,0,3649,1,429657,fr,Abus de substances         ,726.7,389.2,53,3.02548717948718,1824.5,1,139,3.02548717948718,0.882478632478632,,
4,6,6758,0,6,24,1,2,46,2448,83,-1,0.875,0.666666667,16,0,572,2,149863,pt,Abuso de substância         ,683.2,508.8,83,4.925,286,2,245,4.925,0.875,,
148,246,12056,103,143,37,48,2,39,34594,39,-1,0.883390183,0.601626016,50,0.01219512195122,5842,0.5,124462,pt,Abuso infantil          ,1341.1,6935.2,39,15.1690585002052,2921.00731707317,0.5,12,15.1690706670634,0.883410461365867,,
76,121,8614,41,80,15,14,3,115,30669,23,-1,0.865955851,0.628099174,8,0,3509,51,557042,it,Abuso minorile          ,924.2,6181,23,2.54271400657891,1754.5,51,36,2.54267772904359,0.865895388626365,,
45,64,11763,9,55,7,1,31,177,1764,10,-1,0.884920635,0.703125,4,0,5362,7,549436,it,Acatisia           ,1206.8,436,10,1.30907738095238,2681,7,70,1.30937854509359,0.885422575155984,,
22,27,9908,5,22,1,2,1,30,4076,73,-1,0.866045142,0.814814815,1,0,4974,22,129203,pt,Acatisia           ,1004.6,827.6,73,0.330738196488932,2487,22,202,0.330738196488932,0.866045142296369,,
9,34,7240,0,34,16,0,2,26,1836,-1,-1,0.859477124,0.264705882,2,0.029411764705882,2156,0,423484,ca,Acatísia           ,739.2,378.4,-1,0.956862745098039,1078.01764705882,0,28,0.956862745098039,0.859477124183007,,
329,602,10971,192,410,62,43,0,170,26480,46,-1,0.881608761,0.546511628,45,0.003322259136213,6125,3,439178,fr,Accident de la route        ,1388,5364,46,13.7010582800534,3062.50199335548,3,25,13.7007233484963,0.881050542067491,,
7,21,7146,1,20,30,0,1,33,10910,-1,-1,0.859303391,0.333333333,2,0,65,0,414656,ca,Accident de trànsit         ,728.4,2195.6,-1,0.915582034830431,32.5,0,20,0.915582034830431,0.859303391384051,,
70,113,10413,27,86,7,3,0,72,7092,43,-1,0.876621545,0.619469027,3,0.017699115044248,6019,7,445852,fr,Accident ischémique transitoire         ,1094.2,1447.2,43,1.05429151131276,3009.51061946903,7,323,1.05429151131276,0.876621545403271,,
6,13,7239,0,13,29,3,3,37,2102,-1,-1,0.854424358,0.461538462,3,0,1724,15,409132,ca,Accident isquèmic transitori         ,734.8,436.4,-1,1.13573153772963,862,15,84,1.13573153772963,0.85442435775452,,
399,860,11014,237,623,102,77,12,202,32505,43,-1,0.879280111,0.463953488,11,0.022093023255814,6376,6,425546,fr,Accident vasculaire cérébral         ,1506.4,6586.6,43,3.54919597342806,3188.01325581395,6,63,3.54920711337478,0.879298677330052,,
70,198,12229,15,183,148,2,10,123,16663,-1,-1,0.861489528,0.353535354,7,0.01010101010101,5835,0,404842,ca,Accident vascular cerebral         ,1328,3385.8,-1,2.40477250449644,2917.50606060606,0,80,2.40477250449644,0.861489527696093,,
350,1250,11130,176,1074,199,36,14,421,117259,50,-1,0.89674993,0.28,31,0.008,6055,0,429307,fr,Accouchement           ,1626.2,23625.8,50,9.67004995778576,3027.5048,0,17,9.67005178539478,0.896752975657968,,
860,1603,12256,480,1123,76,135,16,335,39899,55,-1,0.886939522,0.536494074,16,0.029943855271366,6379,5.5,501534,de,Acetylsalicylsäure           ,1982.2,8120.2,55,5.01026726920909,3189.51796631316,5.5,24,5.01032207314422,0.887030862185675,,
976,1558,12019,785,773,67,227,0,275,11443,45,14.6,0.889801625,0.626444159,12,0.146983311938383,6895,1,39266,en,Achondroplasia           ,2024.5,2398.6,45,3.75801447976166,3447.58818998716,1,19,3.75801447976166,0.889801625447872,,
131,259,10741,66,193,43,14,1,80,10463,47,-1,0.877568575,0.505791506,8,0.007722007722008,5933,0,457401,fr,Achondroplasie           ,1197.4,2125,47,2.62306624151219,2966.50463320463,0,213,2.62312726148343,0.877670274930549,,
131,222,11723,78,144,9,14,2,41,6103,54,-1,0.889890218,0.59009009,5,0.009009009009009,5796,12,511082,de,Achondroplasie           ,1278.9,1237.8,54,1.67988007670131,2898.00540540541,12,353,1.67988007670131,0.88989021792561,,
24,66,8191,4,62,61,1,15,119,38111,-1,-1,0.861431083,0.363636364,7,0.015151515151515,6019,12,408670,ca,Àcid acetilsalicílic          ,856.6,7675.8,-1,2.39867683155185,3009.50909090909,12,15,2.39867683155185,0.861431082889454,,
30,112,10695,3,109,39,3,4,100,30458,-1,-1,0.857443036,0.267857143,7,0,4154,57,419429,ca,Àcid hialurònic          ,1117.2,6133.2,-1,2.45375153607309,2077,57,105,2.45375153607309,0.857443036312299,,
6,13,741,0,13,47,3,1,11,1237,-1,-1,0.848827809,0.461538462,8,0,1192,82,422037,ca,Àcid perfluorooctanoic          ,88.6,252.2,-1,2.63237360860643,596,82,789,2.63237360860643,0.848827809215845,,
14,35,1707,0,35,50,3,4,58,3137,-1,-1,0.86388269,0.4,3,0,3136,7,406918,ca,Àcid valproic          ,194,652.2,-1,1.17832961428116,1568,7,51,1.17832961428116,0.8638826904686,,
485,1022,11125,241,781,139,71,22,332,22722,49,-1,0.888038025,0.474559687,20,0.034246575342466,6461,6,424878,fr,Acide acétylsalicylique          ,1589.3,4686,49,6.24808700275998,3230.52054794521,6,50,6.24808700275998,0.888038024821758,,
176,290,10866,82,208,103,10,1,96,14580,28,-1,0.895747599,0.606896552,11,0.006896551724138,5868,7,443964,fr,Acide hyaluronique          ,1240.6,2954.8,28,3.4733106286363,2934.00413793103,7,20,3.47329346303797,0.895718990120746,,
59,89,9866,16,73,14,1,7,140,7188,19,-1,0.890094602,0.662921348,7,0.067415730337079,4149,10,455828,fr,Acide perfluorooctanoïque          ,1029.8,1496.4,19,2.23630395228002,2074.5404494382,10,19,2.23630395228002,0.890094602114636,,
139,246,10712,36,210,37,5,28,189,19599,47,-1,0.892800653,0.56504065,7,0.040650406504065,5820,4,430692,fr,Acide valproïque          ,1185.3,4006.6,47,2.29665600161282,2910.0243902439,4,95,2.29665600161282,0.892800653094545,,
3,4,7025,0,4,5,2,0,11,1268,90,-1,0.891167192,0.75,0,0,1214,4,130595,pt,Acidente isquémico transitório         ,705.3,258,90,0.084700315457413,607,4,695,0.084700315457413,0.891167192429022,,
87,146,10506,40,106,4,24,2,36,1502,75,-1,0.874167776,0.595890411,12,0.013698630136986,5023,29,139016,pt,Acidente rodoviário          ,1123.8,315.6,75,3.76696641920362,2511.50821917808,29,145,3.77964142513527,0.895292786184348,,
394,628,12228,314,314,68,127,3,115,23462,80,-1,0.891398858,0.627388535,7,0.003184713375796,5744,2,125728,pt,Acidente vascular cerebral         ,1573.1,4739.6,80,2.25840619361733,2872.00191082803,2,138,2.25815199446421,0.890975192472198,,
286,503,12308,113,390,34,31,54,626,15345,17,-1,0.877028348,0.568588469,16,0.087475149105368,5987,2,546136,it,Acido acetilsalicilico          ,1466.3,3341,17,4.98506392728672,2993.55248508946,2,15,4.98501398665757,0.876945113614168,,
