name,assess,Importance,numInfobox,InfoboxValues,InfoboxImages,numTemplates,numWpEdits,wpmShare,translated,codes,repLinks,numRecSections,HAuthority,HCompleteness,HInformativeness,HConsistency,Authority,Completeness,Complexity,Informativeness,Consistency
Amblyopia,B,Mid,2,20,1,4,115,0.108082706766917,1,6,66,5,712.6,36724.2,22.4824611895141,3192.70535714286,502.8,2774.2,7.75,1.16246118951413,3192.60714285714
Amitriptyline,B,Mid,0,0,0,20,110,0.082335329341317,1,0,114,14,874,19525.8,3.94423381107145,3192.15643712575,661.6,5945.8,1.3,2.34423381107145,3192.11901197605
Amlodipine,B,Mid,0,0,0,12,187,0.195811518324607,1,0,46,10,658.7,12857.6,3.91886583712708,3176.87204188482,456.9,3157.6,5.35,2.95886583712708,3176.58230366492
Amoxicillin,B,Mid,1,58,1,11,94,0.070044709388972,1,0,36,7,870,9612.6,63.3732427029188,3616.63308494784,668.6,2822.6,1.25,3.49324270291883,3616.61579731744
Amphetamine,FA,High,1,71,1,20,1964,0.318520921180668,0,0,286,13,2724.7,23805.2,81.7372288990839,3632.60518975024,2666.7,11195.2,-3.25,8.13722889908385,3632.05926046059
Amyloidosis,B,Mid,1,12,1,4,126,0.154411764705882,1,5,50,6,609.7,34429.6,17.4464520358185,3201.79338235294,403.1,4359.6,4.6,4.12645203581853,3201.65220588235
Amyotrophic lateral sclerosis,B,High,2,27,1,5,710,0.127035247808195,1,10,189,9,2869.4,71207.6,36.7728168879425,3410.24136697084,2643.6,13977.6,7.75,8.37281688794252,3410.11841116479
Analgesic,B,High,1,9,1,4,49,0.039740470397405,0,0,92,5,681.6,16315.2,11.67384946996,3645.57550689375,689.2,11465.2,-4.65,1.35384946996,3645.62262773723
Anaphylaxis,GA,Top,1,12,1,6,563,0.290355853532749,1,6,55,10,1121.6,42949,18.5565372093783,3490.55167612171,916,4149,11.95,5.07653720937828,3490.20639504899
Anatomy,GA,High,0,0,0,1,134,0.053772070626003,0,0,18,2,1280.5,10801.2,18.9043823073012,3749.10216693419,1290.7,8861.2,17.05,18.8243823073012,3749.13362760835
Andrew Wakefield,B,Low,0,0,0,0,28,0.010920436817473,0,0,46,0,1090.6,7019.8,1.53860618915216,3014.02074882995,1119.2,7019.8,2.5,1.53860618915216,3014.08985959438
Anemia,B,High,1,10,1,5,337,0.107874519846351,1,6,91,5,1842.8,40366.6,17.0118562102456,3480.20496158771,1626.2,6416.6,7.05,5.61185621024557,3480.13597951344
Anencephaly,C,Mid,2,12,1,4,97,0.0992835209826,0,6,31,5,505.5,36788,16.1956834470781,3353.18863868987,501.7,2838,10.95,2.87568344707814,3353.11054247697
Anesthesia,B,High,1,5,1,4,360,0.116016757976152,0,0,48,5,1429.8,13467,15.2912013405973,3524.72043184015,1426.6,8617,-8.45,8.97120134059729,3524.5611021592
Aneurysm,B,High,2,10,1,5,45,0.029296875,0,5,58,6,810.2,34473.2,16.9868153405116,3292.5556640625,803.2,4403.2,14.3,5.58681534051161,3292.58125
Angelman syndrome,B,Mid,1,14,1,5,57,0.037061118335501,1,6,37,7,1015.2,38849.8,18.2988142405193,3528.57041612484,812,2959.8,9.8,2.89881424051926,3528.6088426528
Angina,B,Mid,1,6,1,4,189,0.138766519823789,0,7,41,6,687,44101.8,9.30912559901844,3501.76365638767,681.8,4331.8,4.3,1.98912559901843,3501.61894273128
Anhedonia,C,Low,2,4,0,1,30,0.043923865300146,0,1,73,4,389,12852.2,4.52245688879866,3325.08345534407,375.2,4122.2,-11.3,0.442456888798661,3325.07203513909
Ankylosing spondylitis,B,Mid,1,13,1,4,205,0.11147362697118,1,7,61,8,1071.1,46340.4,21.4810694972509,3212.71179989125,862.7,4630.4,7.1,7.16106949725087,3212.57862969005
Anorexia nervosa,B,High,1,15,1,4,326,0.038271894810989,1,7,178,10,4472.2,53234,21.0674099985917,3591.07271660014,4236.8,9584,1.95,4.7474099985917,3591.08459732332
Anosmia,C,Mid,2,12,1,3,58,0.059548254620123,0,3,61,5,510.5,21416.8,14.0011925242009,3474.61314168378,499.7,2016.8,11,0.761192524200946,3474.57330595483
Anthony Fauci,B,Low,0,0,0,2,33,0.036585365853659,0,0,33,0,428.1,5414.4,8.77984894857769,3074.06951219512,458.7,5414.4,5.7,8.61984894857769,3074.10177383592
Anthrax,B,Mid,1,13,1,2,146,0.031236628155755,1,7,70,10,2638.3,52746.2,21.5662284433058,3640.0593495935,2437.1,9096.2,11.3,7.40622844330584,3640.09884467266
Antibiotic,C,High,1,7,1,3,259,0.063480392156863,0,0,192,5,2069,14822.4,18.0761776602365,3632.6206127451,2037.2,9972.4,-2.65,9.83617766023647,3632.59117647059
Antibody,GA,Mid,0,0,0,1,27,0.010887096774194,0,0,137,3,1244.6,12938,8.13665512015588,3639.52068548387,1222.6,10028,1.9,8.05665512015588,3639.62120967742
Antibody-dependent enhancement,C,Low,0,0,0,0,4,0.004576659038902,0,0,98,1,355.3,4176.6,2.24315698546683,2637.00869565217,330.9,3206.6,8.55,2.24315698546683,2637.03844393593
Antigen,C,Mid,0,0,0,0,7,0.007253886010363,0,0,17,1,502.9,3687,0.738755937814463,3660.51378238342,499.1,2717,5.3,0.738755937814463,3660.56279792746
Antihistamine,C,High,1,12,1,2,47,0.10467706013363,0,0,21,6,238.5,8181.2,13.8995502282944,2585.19888641425,234.7,2361.2,-7.45,0.739550228294409,2585.0561247216
Antipsychotic,C,High,1,6,1,6,251,0.107448630136986,0,0,175,7,1063.2,21089.6,11.0932404223271,3617.20415239726,1054.6,14299.6,-13.25,3.61324042232706,3617.09657534247
Antisocial personality disorder,C,Mid,1,9,0,2,58,0.013809523809524,0,4,86,5,2003.2,31695.8,10.0174043049863,3384.52623809524,1995,7445.8,-4.65,0.857404304986292,3384.56828571429
Anxiety,B,High,1,6,0,3,152,0.034498411257376,0,6,117,5,2276.8,40771,10.6592605540497,3719.06554698139,2261,6821,3.25,4.41926055404967,3719.09219246482
Anxiety disorder,C,Top,1,15,1,3,302,0.111893293812523,1,5,143,8,1561.5,39701,17.9823793496972,3523.21259725824,1339.7,7691,4.6,1.74237934969718,3523.11759911078
Aortic dissection,B,Mid,1,13,1,3,178,0.159355416293644,1,6,31,10,732.3,45409,23.4901064023269,3323.30277529096,532.1,6609,8.4,9.25010640232694,3323.16168307968
Aphantasia,Start,Low,0,0,0,1,7,0.019774011299435,0,0,10,2,172.9,2931.4,0.59683404614816,1145.03757062147,178.7,991.4,-4.65,0.51683404614816,1145.04406779661
Aphasia,B,Mid,2,12,0,3,112,0.066154754873007,0,6,91,6,833,44278.8,14.2728646041267,3653.62569403426,824,9358.8,1.95,2.03286460412666,3653.58292971057
Aphthous stomatitis,GA,Mid,2,13,1,6,111,0.050964187327824,0,5,22,6,1062,36386.8,18.312163134733,3022.59683195592,1059.2,6316.8,6.1,3.83216313473301,3022.57603305785
Aplastic anemia,C,Mid,2,11,0,5,25,0.035919540229885,0,7,33,7,373.7,43398.2,11.855039240011,3387.56824712644,366.5,2658.2,5.75,0.455039240010968,3387.60431034483
Appendicitis,B,High,1,11,1,4,257,0.108990670059372,1,5,91,5,1396.7,35586.2,25.4296992914509,3494.70708227311,1186.3,6486.2,4.75,13.1096992914509,3494.60534351145
Aqua Tofana,Start,Low,0,0,0,0,1,0.007194244604317,0,0,1,1,75.1,1747.8,1.01807144021693,3107.51366906475,76.7,777.8,16.5,1.01807144021693,3107.58201438849
Areca nut,C,Mid,0,0,0,0,5,0.003184713375796,0,0,20,0,755.1,4196,8.88263554928152,3565.50605095541,756.9,4196,13,8.88263554928152,3565.58713375796
Aripiprazole,B,Mid,0,0,0,14,220,0.14502307185234,1,0,79,11,921,15955.6,4.10007112509835,3300.77554383652,712.4,5285.6,-5.95,2.98007112509835,3300.64475939354
Arrhythmia,C,High,2,19,1,3,133,0.116871704745167,0,5,42,5,578.8,33845.8,23.1264909475723,3731.22205623902,567.8,4745.8,-1.85,2.88649094757231,3731.11704745167
Arsenic,B,Low,0,0,0,0,9,0.002156205079061,0,0,101,5,2157.6,15987.8,12.2244796765841,3669.00409678965,2162,11137.8,4.7,12.2244796765841,3669.11657882127
Arthritis,C,High,2,17,1,4,147,0.045609680421967,1,7,74,5,1897.1,43331.4,20.3417962987846,3669.5866583928,1685.1,4531.4,10.6,2.02179629878463,3669.6314303444
Asbestos,B,Low,0,0,0,0,45,0.010514018691589,0,0,47,2,2087.6,12667.4,37.4069867299612,3656.01997663551,2102.2,10727.4,9.6,37.4069867299612,3656.08214953271
Ascites,B,Mid,2,21,1,6,66,0.127413127413127,1,6,22,7,462,38433.4,24.7777041317121,3386.74208494208,257.8,2543.4,9.9,2.29770413171213,3386.67374517375
Asperger syndrome,B,High,1,16,1,4,177,0.016740754752672,1,6,129,11,4768.7,48028.4,20.9544379392042,3589.53180743403,4565.3,8258.4,-3.9,3.63443793920424,3589.58568996501
Asphyxia,C,Mid,1,8,1,3,27,0.026679841897233,0,4,11,0,499.3,22363.6,11.8112334814089,3469.0506916996,501.9,2963.6,5,2.57123348140893,3469.09486166008
Aspirin,GA,High,1,72,1,11,281,0.056550613805595,1,0,209,9,2617.8,18023.2,82.5402636359056,3634.10744616623,2385.4,9293.2,7.05,8.66026363590557,3634.12787281143
Assisted suicide,C,Mid,0,0,0,1,40,0.014040014040014,0,0,28,0,1359.6,10121.2,2.13836954618767,3425.02667602668,1377.4,10121.2,6.15,2.05836954618767,3425.08634608635
Asthma,GA,Top,1,15,1,3,1007,0.14013359309769,1,7,292,11,3702.2,53940.2,24.3383400058347,3568.26625382689,3443,9320.2,10.6,8.09834000583465,3568.1772613415
Astigmatism,C,High,2,17,1,5,87,0.110969387755102,1,8,44,7,628.4,48178.2,20.9712341882662,2826.71084183673,425.2,2588.2,8.45,2.57123418826617,2826.62321428571
Asymptomatic,Start,Mid,0,0,0,0,2,0.010752688172043,0,0,4,0,102.7,1064.6,0.716178108307065,3187.52043010753,101.9,1064.6,-17.15,0.716178108307065,3187.59677419355
Ataxia,C,Mid,2,7,0,3,28,0.031111111111111,0,3,67,4,482.2,23012.2,8.60578029857941,3712.05911111111,469.8,4582.2,3.25,1.36578029857941,3712.07733333333
Atherosclerosis,B,High,1,13,1,3,233,0.090980085903944,1,6,143,7,1485.4,43969.8,19.5912935811163,3478.17286216322,1257.2,8079.8,2.6,5.35129358111635,3478.10238188208
Atorvastatin,B,Mid,1,65,1,10,110,0.07773851590106,1,0,81,8,853.8,12585.2,70.9999702148285,3179.14770318021,648,4825.2,-2.15,4.19997021482848,3179.1416254417
Atrial fibrillation,B,High,1,14,1,4,709,0.276197896377094,1,6,190,11,1361.6,51568.8,21.981140739292,3290.02477600312,1120.6,11798.8,3.25,6.66114073929196,3289.61967276977
Atropine,B,Mid,0,0,0,15,83,0.084093211752786,1,0,27,7,704.2,10608.4,6.77205990884957,3450.65977710233,505.4,3818.4,-0.85,5.57205990884957,3450.63738601824
Attention deficit hyperactivity disorder,GA,Top,2,22,1,7,1803,0.144633402855768,0,7,299,7,5430,50874,27.8064388892417,3503.27480346543,5372.4,10134,4.65,4.24643888924168,3503.12422589443
Autism,FA,High,2,27,1,6,318,0.030421888453076,1,8,265,12,4944.2,60864.4,35.9987754162923,3616.05780158806,4710.8,10424.4,2.65,7.51877541629232,3616.11451258012
Autism spectrum,B,Mid,1,16,1,2,229,0.068892900120337,0,3,178,10,1635.3,36274.6,20.4381042816724,3199.13089651023,1605.5,12024.6,0.5,3.27810428167239,3199.08862815884
Autoimmune disease,C,High,1,9,1,2,121,0.089364844903988,1,6,71,6,872.7,39212.2,12.203658248196,3579.16979320532,659.1,4292.2,2.55,2.04365824819596,3579.13559822747
Autopsy,C,Mid,1,5,1,2,18,0.015845070422535,0,0,15,3,589.2,7910.6,12.5961542626742,3279.5301056338,589.8,5000.6,8.05,6.43615426267422,3279.58978873239
Avicenna,B,High,0,0,0,2,25,0.004251700680272,0,0,7,1,2598.4,14021.4,10.0503381917186,3696.50807823129,2623.4,13051.4,5.8,9.8903381917186,3696.5843877551
Avoidant personality disorder,C,Mid,2,9,0,3,20,0.015835312747427,0,5,33,6,645.5,32738,9.74551163765115,3269.03008709422,645.3,2668,-16.15,0.505511637651154,3269.07173396675
Ayurveda,C,Low,0,0,0,1,59,0.009859625668449,0,0,47,3,2565.4,10205.4,11.2006152814485,3349.51873328877,2573.6,7295.4,7.1,11.1206152814485,3349.55735294118
Azithromycin,B,Mid,0,0,0,9,135,0.088524590163934,1,0,46,8,986.5,10817.2,3.29360096372096,3167.66819672131,779.9,3057.2,3.65,2.57360096372096,3167.60937704918
B vitamins,C,Mid,0,0,0,1,40,0.019398642095053,0,0,26,1,1065.2,4496.2,5.36573724086894,3223.03685741998,1067,3526.2,3.35,5.28573724086894,3223.08322017459
"Bachelor of Medicine, Bachelor of Surgery",B,Mid,0,0,0,2,79,0.036405529953917,0,0,0,1,1064.1,9880.4,2.75137836893003,3126.06917050691,1070.7,8910.4,-8.5,2.59137836893003,3126.03400921659
Baclofen,B,Mid,0,0,0,11,86,0.095555555555556,1,0,41,10,625.7,12246,3.82790118728456,3084.68155555556,419.3,2546,2.6,2.94790118728456,3084.61733333333
Bacteria,FA,High,0,0,0,0,84,0.019774011299435,0,0,248,1,2080.6,11471.2,12.5851279554272,3721.03757062147,2044.6,10501.2,3.25,12.5851279554272,3721.20903954802
Barbiturate overdose,C,Low,1,13,1,4,38,0.180094786729858,1,3,9,3,313,18350,15.9440136908767,2092.84218009479,113.4,890,10.25,1.62401369087672,2092.66492890995
Barrett's esophagus,B,Mid,2,14,1,3,63,0.114754098360656,0,7,60,7,313.6,43728.2,19.6381059814776,3387.21803278688,302.6,2988.2,-10.1,4.39810598147761,3387.06775956284
Basal-cell carcinoma,C,High,2,22,1,5,96,0.106548279689234,1,7,64,8,642,46630,36.2466704409738,3165.20244173141,430.4,4920,6,12.8466704409738,3165.12186459489
Basic reproduction number,B,High,0,0,0,1,43,0.07426597582038,0,0,54,1,293.9,4265.2,2.39792118497991,3124.64110535406,285.9,3295.2,-6.05,2.31792118497991,3124.57772020725
BCG vaccine,B,Mid,0,0,0,3,114,0.109404990403071,1,0,85,5,740.9,10182.2,3.17120515362051,3660.20786948177,535.9,5332.2,2.35,2.93120515362051,3660.11631477927
Beau's lines,Start,Low,2,6,1,4,1,0.008130081300813,0,3,5,1,67.4,16191.4,8.573086627418,2983.51544715447,67.6,671.4,12.7,1.253086627418,2983.57317073171
Bed bug,B,High,2,19,1,2,376,0.067906808741196,0,4,37,7,2619,31268.4,24.9191434858466,3118.62902293661,2623.8,5078.4,15.05,4.75914348584664,3118.60511107098
Bell's palsy,B,High,1,14,1,3,240,0.117762512266928,1,6,47,6,1226.9,38271,17.2482325656982,3708.72374877331,1023.7,3351,14.45,2.00823256569821,3708.62541707556
Ben Carson,C,Low,0,0,0,0,15,0.002287631538813,0,0,10,0,3012.7,10614.6,10.7900642745627,3107.00434649992,3066.5,10614.6,10.85,10.7900642745627,3107.07823699863
Benzene,B,Low,0,0,0,8,13,0.004850746268657,0,0,56,3,1327.1,12189.4,12.2497852329993,3640.00921641791,1331.3,9279.4,3.6,11.6097852329993,3640.11395522388
Benzodiazepine,GA,High,1,4,0,5,129,0.02704969595303,0,0,163,16,1941.3,28786.4,12.2859048430824,3617.05139442231,1932.1,13266.4,4.7,7.88590484308239,3617.05510589222
Benzonatate,Start,Mid,0,0,0,9,29,0.114624505928854,1,0,23,11,327.3,12797,3.05370696751544,3002.71778656126,122.5,2127,4.7,2.33370696751544,3002.63517786561
Bhopal disaster,B,Low,0,0,0,1,17,0.004125212327105,0,0,7,1,1780.2,13796,6.66217613584968,3451.50783790342,1807.2,12826,13.7,6.58217613584968,3451.55416161126
Bill & Melinda Gates Foundation,C,Low,0,0,0,0,17,0.006322052807735,0,0,10,1,1325.9,12632.8,8.59410674948834,3449.01201190033,1368.7,11662.8,-4.65,8.59410674948834,3449.07564150242
BioNTech,C,Low,0,0,0,0,0,0,0,0,8,1,103.9,2504.4,2.99257953053687,214.5,110.3,1534.4,-7.8,2.99257953053687,214.575949367089
Bipolar disorder,GA,Top,1,15,1,5,842,0.098479532163743,1,7,193,13,3903.4,58682,26.6480238872522,3633.68711111111,3677,12122,2.6,10.2480238872522,3633.60792982456
Bipolar II disorder,Start,Mid,2,6,1,2,14,0.02046783625731,0,1,31,6,327.9,17015.8,8.59013132566605,2535.53888888889,328.9,6345.8,2.55,1.43013132566605,2535.56578947368
Birth defect,B,High,2,15,1,2,113,0.127683615819209,1,2,91,5,690.2,23522,18.4659885050463,3293.74259887006,470.6,8972,-3.55,2.30598850504631,3293.65661016949
Black Death,B,Mid,1,8,1,3,27,0.002567272035752,0,0,62,1,5209.8,9514,19.9910066572851,3722.00487781687,5222,8544,6.75,10.7510066572851,3722.10360368926
Blood,C,High,1,4,1,4,87,0.0152578042792,0,0,18,5,2975,12865.4,16.6259674580672,3683.02898982813,2983,8015.4,8.8,11.3059674580672,3683.1002806033
Blood alcohol content,C,Mid,1,5,1,3,35,0.013730874852884,0,0,31,0,1327.8,5806.8,9.07314367763649,3612.52608866222,1334.4,5806.8,-2.3,2.83314367763649,3612.55131424088
Blood pressure,B,High,1,6,1,3,129,0.03518821603928,0,0,111,1,1880.6,6747.2,13.17232860456,3524.56685761047,1857.2,5777.2,0.15,5.93232860455999,3524.59656301146
Blood type,B,High,0,0,0,2,33,0.006995972016112,0,0,27,2,2374.8,6733.6,5.18325155368705,3527.51329234683,2378,4793.6,1.5,5.02325155368705,3527.58751324995
Blue balls,C,Low,2,4,0,2,12,0.00600901352028,0,0,10,1,1125.5,1320,4.88738884749889,3205.01141712569,1123.9,350,-17.05,0.727388847498891,3205.08322483726
Blunt trauma,Start,High,1,5,1,2,59,0.145320197044335,0,0,30,4,196.9,7198.6,11.5076973964617,2868.77610837438,190.9,3318.6,-1.9,5.34769739646174,2868.59310344828
Body dysmorphic disorder,C,Mid,2,11,1,3,40,0.023148148148148,0,4,31,3,860,24388.2,12.7237531188251,3263.54398148148,852.8,2078.2,-7.4,0.483753118825145,3263.54583333333
Body mass index,B,Mid,1,11,1,2,118,0.031216931216931,0,0,64,1,1904.6,6056,15.9666722501396,3617.05931216931,1895.4,5086,7.2,3.80667225013959,3617.07079365079
Borderline personality disorder,B,High,1,17,1,2,481,0.069019945472808,1,5,168,8,3253.2,46732.8,22.0795115184338,3444.6311378964,3041,14722.8,1.25,3.91951151843378,3444.61071889798
Botulinum toxin,B,Mid,0,0,0,8,111,0.039586305278174,0,0,122,8,1437.1,14867,5.63780577436426,3578.57521398003,1415.9,7107,7.85,4.99780577436426,3578.61447931526
Botulism,B,High,2,22,1,4,157,0.062900641025641,1,6,80,7,1503.1,42548.2,25.3342686853606,3581.11951121795,1287.7,6658.2,10.5,2.01426868536063,3581.10336538462
Bovine spongiform encephalopathy,C,Mid,1,16,1,2,117,0.037356321839081,1,0,31,6,1777.6,11920,22.1700318762017,3700.57097701149,1584.6,6100,10.3,5.01003187620166,3700.58946360153
Breast cancer,B,Top,2,21,1,6,637,0.093745401030169,1,8,214,13,3444.1,64622.8,44.0607527672941,3495.17811626196,3209.7,13212.8,7.2,21.5807527672941,3495.11222958057
Breastfeeding,B,Top,0,0,0,0,598,0.101545253863135,1,0,179,3,2784.7,16513.4,18.6209276155626,3502.69293598234,2573.5,13603.4,3.6,18.6209276155626,3502.62827305145
Bright's Disease,Start,Low,1,4,1,0,12,0.014925373134328,0,0,9,1,400.1,2469.8,5.4056984790177,3248.52835820896,401.5,1499.8,-5.05,0.4056984790177,3248.55223880597
Bristol stool scale,Start,Low,1,10,1,1,17,0.013957307060755,0,0,57,2,678.5,3691.2,12.7277282109145,2885.02651888342,670.1,1751.2,-23.4,1.64772821091449,2885.0724137931
Bronchitis,B,High,1,8,1,4,632,0.309348996573666,1,6,104,6,1248.2,38099.8,11.3795145547206,2553.58776309349,1019.2,3179.8,14,2.05951455472057,2553.16563876652
Bubonic plague,C,Mid,1,11,1,2,84,0.017929562433298,1,4,44,6,2724.8,29828.8,18.0744025628948,2471.53406616862,2518.4,4608.8,13.65,5.91440256289478,2471.57735325507
Bulimia nervosa,B,High,2,23,1,4,117,0.029552917403385,1,7,87,6,2301.4,45717,27.2276444942961,3417.55615054307,2086.8,5947,0.550000000000001,2.90764449429607,3417.60396564789
Bullying,C,Low,0,0,0,0,6,0.001318681318681,0,0,45,4,2025.7,12071.6,4.19018591457587,3233.50250549451,2051.3,8191.6,5,4.19018591457587,3233.60865934066
Buprenorphine,C,Mid,1,67,1,16,119,0.05305394560856,1,0,75,11,1288.2,15048,72.5098302878855,3148.60080249666,1079.4,4378,1.3,3.22983028788547,3148.5917521177
Bupropion,FA,Mid,1,59,1,15,262,0.087625418060201,1,0,134,15,1579.8,21382.4,66.3084132898779,3259.66648829431,1354.2,6832.4,1.15,5.10841328987787,3259.63484949833
Buspirone,B,Mid,0,0,0,14,54,0.049495875343721,1,0,48,13,733.7,15417.8,4.67591933411436,3139.09404216315,531.1,2807.8,-1.5,3.55591933411436,3139.10724106324
Caesarean section,B,High,2,10,1,5,282,0.101952277657267,1,1,122,10,1547.7,24953.4,21.2390000184893,3561.69370932755,1337.7,10403.4,5.1,9.83900001848929,3561.60585683297
Calcium,GA,Mid,0,0,0,0,124,0.033870527178367,0,0,21,5,1874.1,10634,7.14407429120524,3720.56435400164,1877.7,5784,4.4,7.14407429120524,3720.62062278066
Cancer,B,Top,1,12,1,3,727,0.112660777932744,1,5,258,14,3181.2,51557,23.4426916570653,3630.21405547807,2944.4,13727,9.3,10.2026916570653,3630.17340771734
Cannabinoid hyperemesis syndrome,B,Mid,2,13,1,3,144,0.224648985959438,1,0,35,8,512.8,11251,15.7518996687127,2113.42683307332,305,3491,3.95,1.51189966871273,2113.11419656786
